,Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets,Male,Serious Criminal Case,Crorepati,Graduate or Above
730,Mubarak Ismail Dashu,VAGRA,2,8th Pass,3078332.0, 100000,IND,"Rs 30,78,332 ~ 30 Lacs+",1,1,0,0
731,Kamleshbhai S. Madhiwala,VAGRA,0,Graduate Professional,4409949.0, 0,IND,"Rs 44,09,949 ~ 44 Lacs+",1,0,0,1
732,Talati Mustak Ismail,VAGRA,2,8th Pass,7429202.0, 515000,IND,"Rs 74,29,202 ~ 74 Lacs+",1,1,0,0
733,Suleman Patel,VAGRA,0,10th Pass,51243592.0, 5250000,INC,"Rs 5,12,43,592 ~ 5 Crore+",1,0,1,0
734,Arunsinh Ajitsinh Rana,VAGRA,0,10th Pass,163450840.0, 6126066,BJP,"Rs 16,34,50,840 ~ 16 Crore+",1,0,1,0
735,Kamleshbhai Bharatbhai Yogi,VALSAD,0,10th Pass,27200.0, 0,SP,"Rs 27,200 ~ 27 Thou+",1,0,0,0
736,Rajeshbhai Thakorbhai Gohil,VALSAD,0,8th Pass,506000.0, 0,Bharatiya Republican Paksha,"Rs 5,06,000 ~ 5 Lacs+",1,0,0,0
737,Rajeshbhai Mangubhai Patel,VALSAD,3,5th Pass,4016726.0, 432825,AAP,"Rs 40,16,726 ~ 40 Lacs+",1,1,0,0
738,Hemantkumar Gopalbhai Tandel,VALSAD,0,Others,7768838.0, 0,Rashtriya Samaj Paksha,"Rs 77,68,838 ~ 77 Lacs+",1,0,0,0
739,Mahesh Vinayakray Acharya,VALSAD,0,Graduate Professional,29683260.0, 300000,Praja Vijay Paksh,"Rs 2,96,83,260 ~ 2 Crore+",1,0,1,1
740,Bharatbhai Kikubhai Patel,VALSAD,0,Post Graduate,31404528.0, 538758,BJP,"Rs 3,14,04,528 ~ 3 Crore+",1,0,1,1
741,Kamalbhai Shantilal Patel,VALSAD,1,8th Pass,36299790.0, 7100000,INC,"Rs 3,62,99,790 ~ 3 Crore+",1,0,1,0
742,Alpeshkumar Chhotubhai Patel,VANSDA (ST),0,10th Pass,25000.0, 0,Bahujan Republican Socialist Party,"Rs 25,000 ~ 25 Thou+",1,0,0,0
743,Manakbhai Jatrubhai Sanakar,VANSDA (ST),0,10th Pass,30000.0, 0,BSP,"Rs 30,000 ~ 30 Thou+",1,0,0,0
744,Pankajbhai Chandubhai Patel,VANSDA (ST),0,12th Pass,4435000.0, 1351003,AAP,"Rs 44,35,000 ~ 44 Lacs+",1,0,0,0
745,Piyushkumar Kantilal Patel,VANSDA (ST),0,Post Graduate,16446679.0, 4486205,BJP,"Rs 1,64,46,679 ~ 1 Crore+",1,0,1,1
746,Anantkumar Hasmukhbhai Patel,VANSDA (ST),5,Post Graduate,19821514.0, 1275000,INC,"Rs 1,98,21,514 ~ 1 Crore+",1,1,1,1
747,Mahajan Pratibhaben Pankajbhai,VARACHHA ROAD,0,12th Pass,130000.0, 0,Sardar Vallabhbhai Patel Party,"Rs 1,30,000 ~ 1 Lacs+",0,0,0,0
748,Pyarelal Bharti,VARACHHA ROAD,0,10th Pass,390480.0, 13332,BSP,"Rs 3,90,480 ~ 3 Lacs+",1,0,0,0
749,Alpesh Kathiriya,VARACHHA ROAD,13,Graduate,1114216.0, 0,AAP,"Rs 11,14,216 ~ 11 Lacs+",1,1,0,1
750,Prafulbhai Togadiya (Papanbhai),VARACHHA ROAD,0,5th Pass,12095170.0, 1337520,INC,"Rs 1,20,95,170 ~ 1 Crore+",1,0,1,0
751,Kishor Kanani (Kumar),VARACHHA ROAD,0,8th Pass,13489258.0, 1025000,BJP,"Rs 1,34,89,258 ~ 1 Crore+",1,0,1,0
752,Ikbalbhai Habibbhai Sama,VISAVADAR,0,10th Pass,208961.0, 0,IND,"Rs 2,08,961 ~ 2 Lacs+",1,0,0,0
753,Vaghela Mansukhbhai Nathabhai,VISAVADAR,0,8th Pass,639000.0, 0,BSP,"Rs 6,39,000 ~ 6 Lacs+",1,0,0,0
754,Bhupendrabhai Gandubhai Bhayani,VISAVADAR,1,10th Pass,6497524.0, 1365762,AAP,"Rs 64,97,524 ~ 64 Lacs+",1,1,0,0
755,Harshadkumar Madhavjibhai Ribadiya,VISAVADAR,0,10th Pass,19957034.0, 2397376,BJP,"Rs 1,99,57,034 ~ 1 Crore+",1,0,1,0
756,Karashanbhai Naranbhai Vadadoriya,VISAVADAR,0,Graduate,21784929.0, 1000000,INC,"Rs 2,17,84,929 ~ 2 Crore+",1,0,1,1
