,Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets,Male,Serious Criminal Case,Crorepati,Graduate or Above
0,Meghwal Nagshi Khamubhai,ABDASA,0,5th Pass,955000.0, 0,BSP,"Rs 9,55,000 ~ 9 Lacs+",1,0,0,0
1,Mamubhai Mandabhai Rabari,ABDASA,0,8th Pass,1192000.0, 600000,IND,"Rs 11,92,000 ~ 11 Lacs+",1,0,0,0
2,K. D. Jadeja,ABDASA,0,Graduate,1430000.0, 0,Praja Vijay Paksh,"Rs 14,30,000 ~ 14 Lacs+",1,0,0,1
3,Uthar Razak Alimamad,ABDASA,1,Graduate,1561000.0, 300000,IND,"Rs 15,61,000 ~ 15 Lacs+",1,0,0,1
4,Bhanushali Suresh Manji Mange,ABDASA,0,8th Pass,2319200.0, 0,IND,"Rs 23,19,200 ~ 23 Lacs+",1,0,0,0
5,Vasantbhai Valji Khetani,ABDASA,1,8th Pass,3167778.0, 0,AAP,"Rs 31,67,778 ~ 31 Lacs+",1,0,0,0
6,Jat Mamad Jung,ABDASA,0,Literate,3397899.0, 300000,INC,"Rs 33,97,899 ~ 33 Lacs+",1,0,0,0
7,Joshi Jagdishchandra Kakulal,ABDASA,0,10th Pass,12592758.0, 0,SP,"Rs 1,25,92,758 ~ 1 Crore+",1,0,1,0
8,Jadeja Pradhyumansinh Mahipatsinh,ABDASA,0,Literate,13023913.0, 1580000,BJP,"Rs 1,30,23,913 ~ 1 Crore+",1,0,1,0
9,Hakumatsinh Juvansinh Jadeja,ABDASA,0,Graduate,28638807.0, 2019422,IND,"Rs 2,86,38,807 ~ 2 Crore+",1,0,1,1
10,Ravi Dhanani,AMRELI,0,Graduate,1028500.0, 200000,AAP,"Rs 10,28,500 ~ 10 Lacs+",1,0,0,1
11,Vinubhai Chavada,AMRELI,0,5th Pass,2052000.0, 100000,IND,"Rs 20,52,000 ~ 20 Lacs+",1,0,0,0
12,Gohil Mukeshbhai Khimajibhai,AMRELI,0,12th Pass,7131888.0, 0,Vyavastha Parivartan Party,"Rs 71,31,888 ~ 71 Lacs+",1,0,0,0
13,Dhanani Pareshkumar Dhirajlal,AMRELI,0,Graduate,19453081.0, 100000,INC,"Rs 1,94,53,081 ~ 1 Crore+",1,0,1,1
14,Kaushik Kantibhai Vekariya,AMRELI,0,Graduate,35690630.0, 0,BJP,"Rs 3,56,90,630 ~ 3 Crore+",1,0,1,1
15,Ramesh Jakharabhai Kodecha,ANJAR,0,5th Pass,70387.0, 0,IND,"Rs 70,387 ~ 70 Thou+",1,0,0,0
16,Chavda Sudha Bakul,ANJAR,0,Graduate Professional,485000.0, 0,BSP,"Rs 4,85,000 ~ 4 Lacs+",1,0,0,1
17,Roshanali Ibrahim Sandhani,ANJAR,0,5th Pass,845850.0, 70000,SDPI,"Rs 8,45,850 ~ 8 Lacs+",1,0,0,0
18,Arjanbhai Chanabhai Rabari,ANJAR,0,Literate,3696500.0, 1185000,AAP,"Rs 36,96,500 ~ 36 Lacs+",1,0,0,0
19,Kakal Ganibhai Adambhai,ANJAR,2,8th Pass,5600000.0, 2243357,Gujarat Sarva Samaj Party,"Rs 56,00,000 ~ 56 Lacs+",1,1,0,0
20,Chhanga Trikam Bijal,ANJAR,0,Graduate Professional,9931399.0, 499406,BJP,"Rs 99,31,399 ~ 99 Lacs+",1,0,0,1
21,Dangar Rameshbhai Shamjibhai,ANJAR,1,5th Pass,28503885.0, 8603096,INC,"Rs 2,85,03,885 ~ 2 Crore+",1,1,1,0
22,Jitendrasingh Rajawat,ANKLESHWAR,0,10th Pass,5742378.0, 1200000,Praja Vijay Paksh,"Rs 57,42,378 ~ 57 Lacs+",1,0,0,0
23,Ankurkumar Laxmanbhai Patel,ANKLESHWAR,0,Others,17414200.0, 2000000,AAP,"Rs 1,74,14,200 ~ 1 Crore+",1,0,1,0
24,Vijaysinh Thakorbhai Patel (Vallabhdas),ANKLESHWAR,2,Graduate,26357525.0, 514286,INC,"Rs 2,63,57,525 ~ 2 Crore+",1,1,1,1
25,Ishwarsinh Thakorbhai Patel,ANKLESHWAR,0,Graduate,47887600.0, 7420975,BJP,"Rs 4,78,87,600 ~ 4 Crore+",1,0,1,1
26,Rathod Dineshkumar Lallubhai,BARDOLI (SC),0,8th Pass,719877.0, 0,IND,"Rs 7,19,877 ~ 7 Lacs+",1,0,0,0
27,Sushilaben Rameshbhai Wagh,BARDOLI (SC),0,Graduate Professional,15075000.0, 566000,BSP,"Rs 1,50,75,000 ~ 1 Crore+",0,0,1,1
28,Rajendraprasad Solanki Alias Raju Morthana,BARDOLI (SC),0,Others,17369741.0, 1174098,AAP,"Rs 1,73,69,741 ~ 1 Crore+",1,0,1,0
29,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,BARDOLI (SC),0,10th Pass,21655555.0, 2577012,BJP,"Rs 2,16,55,555 ~ 2 Crore+",1,0,1,0
30,Pannaben Anilbhai Patel,BARDOLI (SC),0,10th Pass,22652891.0, 0,INC,"Rs 2,26,52,891 ~ 2 Crore+",0,0,1,0
31,Mansuri Sahilhushen Ismailbhai,BHARUCH,0,8th Pass,14000.0, 0,IND,"Rs 14,000 ~ 14 Thou+",1,0,0,0
32,Mirza Abidbeg Yasinbeg,BHARUCH,0,Literate,58500.0, 8100,IND,"Rs 58,500 ~ 58 Thou+",1,0,0,0
33,Vasava Sureshbhai Gordhandas,BHARUCH,0,5th Pass,2027000.0, 0,IND,"Rs 20,27,000 ~ 20 Lacs+",1,0,0,0
34,Vasava Bhagatsinh Jesingbhai,BHARUCH,0,Graduate Professional,3620120.0, 478000,IND,"Rs 36,20,120 ~ 36 Lacs+",1,0,0,1
35,Manharbhai Maganbhai Parmar,BHARUCH,0,12th Pass,13900000.0, 525000,AAP,"Rs 1,39,00,000 ~ 1 Crore+",1,0,1,0
36,Rameshbhai Narandas Mistry,BHARUCH,2,10th Pass,18600244.0, 0,BJP,"Rs 1,86,00,244 ~ 1 Crore+",1,1,1,0
37,Jaykantbhai Bahecharbhai Patel,BHARUCH,0,5th Pass,38954297.0, 800000,INC,"Rs 3,89,54,297 ~ 3 Crore+",1,0,1,0
38,Harsh Jagdishbhai Goklani,BHAVNAGAR EAST,0,12th Pass,204677.0, 0,IND,"Rs 2,04,677 ~ 2 Lacs+",1,0,0,0
39,Baldev Mavjibhai Solanki,BHAVNAGAR EAST,0,Graduate,732539.0, 0,INC,"Rs 7,32,539 ~ 7 Lacs+",1,0,0,1
40,Dharamshibhai Ramjibhai Dhapa,BHAVNAGAR EAST,4,10th Pass,3040000.0, 110000,Vyavastha Parivartan Party,"Rs 30,40,000 ~ 30 Lacs+",1,1,0,0
41,Kishorsinh Bhartsinh Gohil,BHAVNAGAR EAST,2,12th Pass,3910000.0, 2240000,BSP,"Rs 39,10,000 ~ 39 Lacs+",1,0,0,0
42,Sejalben Rajivkumar Pandya,BHAVNAGAR EAST,0,Graduate,4305247.0, 0,BJP,"Rs 43,05,247 ~ 43 Lacs+",0,0,0,1
43,Arun Mehta,BHAVNAGAR EAST,0,Graduate,4310000.0, 0,CPI(M),"Rs 43,10,000 ~ 43 Lacs+",1,0,0,1
44,Hamir Rathod (Master),BHAVNAGAR EAST,4,Graduate,11036312.0, 5557562,AAP,"Rs 1,10,36,312 ~ 1 Crore+",1,1,1,1
45,Mrudangrajsinh Mulrajsinh Chudasama,BHAVNAGAR EAST,0,Graduate Professional,29245000.0, 2600000,Right to Recall Party,"Rs 2,92,45,000 ~ 2 Crore+",1,0,1,1
46,Parmar Rajeshkumar P.,BHAVNAGAR RURAL,0,12th Pass,57500.0, 0,Rashtriya Hind Ekta Dal,"Rs 57,500 ~ 57 Thou+",1,0,0,0
47,Makwana Ashokbhai Gobarbhai,BHAVNAGAR RURAL,0,8th Pass,785000.0, 0,BSP,"Rs 7,85,000 ~ 7 Lacs+",1,0,0,0
48,Hemantsinh Karansinh Gohil(Hembha),BHAVNAGAR RURAL,0,Literate,3057969.0, 0,IND,"Rs 30,57,969 ~ 30 Lacs+",1,0,0,0
49,Gohil Khumansinh Natubha,BHAVNAGAR RURAL,0,8th Pass,3394500.0, 20000,AAP,"Rs 33,94,500 ~ 33 Lacs+",1,0,0,0
50,Gohil Revatsinh Batukbha(Hoidad),BHAVNAGAR RURAL,0,12th Pass,27201225.0, 13849115,INC,"Rs 2,72,01,225 ~ 2 Crore+",1,0,1,0
51,Parshottambhai O. Solanki,BHAVNAGAR RURAL,3,Others,535208999.0, 89317000,BJP,"Rs 53,52,08,999 ~ 53 Crore+",1,1,1,0
52,Jayaben Mehulbhai Boricha,BHAVNAGAR WEST,0,8th Pass,3000.0, 0,IND,"Rs 3,000 ~ 3 Thou+",0,0,0,0
53,Solanki Savitaben Rameshbhai,BHAVNAGAR WEST,0,Illiterate,12000.0, 0,IND,"Rs 12,000 ~ 12 Thou+",0,0,0,0
54,Shekh Yunusbhai Mohamedzakariya,BHAVNAGAR WEST,0,12th Pass,31000.0, 0,CPI,"Rs 31,000 ~ 31 Thou+",1,0,0,0
55,Solanki Rajeshbhai Shantilal,BHAVNAGAR WEST,0,Literate,51808.0, 0,IND,"Rs 51,808 ~ 51 Thou+",1,0,0,0
56,Gopal Najabhai Boliya,BHAVNAGAR WEST,1,10th Pass,70000.0, 3526,IND,"Rs 70,000 ~ 70 Thou+",1,0,0,0
57,Manharbhai Kanjibhai Rathod,BHAVNAGAR WEST,5,10th Pass,120000.0, 53264,CPI(M),"Rs 1,20,000 ~ 1 Lacs+",1,1,0,0
58,Rathod Ashokbhai Gambhirbhai,BHAVNAGAR WEST,0,5th Pass,163609.0, 122700,IND,"Rs 1,63,609 ~ 1 Lacs+",1,0,0,0
59,Yasminben Dilavrbhai Malek,BHAVNAGAR WEST,0,5th Pass,350200.0, 0,IND,"Rs 3,50,200 ~ 3 Lacs+",0,0,0,0
60,Sarfraj Rustambhai Kureshi,BHAVNAGAR WEST,0,10th Pass,406000.0, 64091,IND,"Rs 4,06,000 ~ 4 Lacs+",1,0,0,0
61,Dineshbhai Lakhabhai Rathod,BHAVNAGAR WEST,0,Literate,560000.0, 0,BSP,"Rs 5,60,000 ~ 5 Lacs+",1,0,0,0
62,Mansukhbhai Malubhai Solanki,BHAVNAGAR WEST,0,Literate,605379.0, 293615,IND,"Rs 6,05,379 ~ 6 Lacs+",1,0,0,0
63,Rajenbhai Shankarbhai Solanki,BHAVNAGAR WEST,0,12th Pass,2040191.0, 100000,AAP,"Rs 20,40,191 ~ 20 Lacs+",1,0,0,0
64,Baraiya Gobarbhai Kanjibhai,BHAVNAGAR WEST,1,Literate,4533000.0, 65000,Vyavastha Parivartan Party,"Rs 45,33,000 ~ 45 Lacs+",1,0,0,0
65,Jitendrabhai Savajibhai Vaghani,BHAVNAGAR WEST,4,Graduate Professional,85281993.0, 21664960,BJP,"Rs 8,52,81,993 ~ 8 Crore+",1,0,1,1
66,Kishorsinh Kumbhajibhai Gohil,BHAVNAGAR WEST,2,10th Pass,97241006.0, 9833207,INC,"Rs 9,72,41,006 ~ 9 Crore+",1,1,1,0
67,Mehulraj Bharatsinh Rathod,BHUJ,0,8th Pass,54000.0, 106000,Praja Vijay Paksh,"Rs 54,000 ~ 54 Thou+",1,0,0,0
68,Saiyad Jusabsha Mamadsha,BHUJ,0,5th Pass,309000.0, 0,BSP,"Rs 3,09,000 ~ 3 Lacs+",1,0,0,0
69,Bhupendra Babulal Joshi,BHUJ,0,5th Pass,340261.0, 75000,IND,"Rs 3,40,261 ~ 3 Lacs+",1,0,0,0
70,Node Kasam Mohammad,BHUJ,0,5th Pass,457952.0, 0,Right to Recall Party,"Rs 4,57,952 ~ 4 Lacs+",1,0,0,0
71,Osman Ishabhai Kumbhar,BHUJ,0,Illiterate,565000.0, 0,IND,"Rs 5,65,000 ~ 5 Lacs+",1,0,0,0
72,Sakil Mahamad Sama,BHUJ,1,12th Pass,1146000.0, 500000,All India Majlis-E-Ittehadul Muslimeen,"Rs 11,46,000 ~ 11 Lacs+",1,1,0,0
73,Theba Husen Mamad,BHUJ,0,Literate,2125000.0, 577620,IND,"Rs 21,25,000 ~ 21 Lacs+",1,0,0,0
74,Rajesh Kesara Pindoria,BHUJ,0,12th Pass,5384870.0, 964669,AAP,"Rs 53,84,870 ~ 53 Lacs+",1,0,0,0
75,Arjan Bhudiya,BHUJ,1,8th Pass,24260519.0, 1240000,INC,"Rs 2,42,60,519 ~ 2 Crore+",1,0,1,0
76,Keshubhai Shivdas Patel,BHUJ,0,5th Pass,63392215.0, 1024000,BJP,"Rs 6,33,92,215 ~ 6 Crore+",1,0,1,0
77,Khambhaliya Kishorbhai Ramnikbhai,BOTAD,0,Literate,55000.0, 0,IND,"Rs 55,000 ~ 55 Thou+",1,0,0,0
78,Meghjibhai Vithalbhai Talsaniya,BOTAD,0,5th Pass,100000.0, 0,IND,"Rs 1,00,000 ~ 1 Lacs+",1,0,0,0
79,Chauhan Kamleshbhai Arjanbhai,BOTAD,1,5th Pass,146000.0, 950000,Vyavastha Parivartan Party,"Rs 1,46,000 ~ 1 Lacs+",1,0,0,0
80,Dhadhal Amirajsinh Jagubhai,BOTAD,1,10th Pass,150000.0, 0,Praja Vijay Paksh,"Rs 1,50,000 ~ 1 Lacs+",1,1,0,0
81,Bavaliya Jayeshbhai Bhagvanbhai,BOTAD,0,5th Pass,810000.0, 0,IND,"Rs 8,10,000 ~ 8 Lacs+",1,0,0,0
82,Chauhan Champaben Zaverbhai,BOTAD,0,Post Graduate,950000.0, 0,IND,"Rs 9,50,000 ~ 9 Lacs+",0,0,0,1
83,Chauhan Mulshankarbhai Raghurambhai,BOTAD,0,10th Pass,1009101.0, 40000,BSP,"Rs 10,09,101 ~ 10 Lacs+",1,0,0,0
84,Mithapara Mukeshkumar Babubhai,BOTAD,0,Post Graduate,2084679.0, 0,IND,"Rs 20,84,679 ~ 20 Lacs+",1,0,0,1
85,Alpabala Dilipkumar Sabva,BOTAD,0,Post Graduate,4152619.0, 1672101,IND,"Rs 41,52,619 ~ 41 Lacs+",0,0,0,1
86,Makwana Umeshbhai Naranbhai,BOTAD,0,Graduate Professional,8517847.0, 2803689,AAP,"Rs 85,17,847 ~ 85 Lacs+",1,0,0,1
87,Patel Sanjaybhai Jadavbhai,BOTAD,0,12th Pass,15536500.0, 280000,IND,"Rs 1,55,36,500 ~ 1 Crore+",1,0,1,0
88,Moradiya Niteshbhai Purushotambhai,BOTAD,0,12th Pass,36463570.0, 3183500,Right to Recall Party,"Rs 3,64,63,570 ~ 3 Crore+",1,0,1,0
89,Ghanshyambhai Pragjibhai Virani,BOTAD,0,10th Pass,45886128.0, 1216539,BJP,"Rs 4,58,86,128 ~ 4 Crore+",1,0,1,0
90,Manharbhai Nagajibhai Patel,BOTAD,0,10th Pass,76707085.0, 5069265,INC,"Rs 7,67,07,085 ~ 7 Crore+",1,0,1,0
91,Juber Kashim Ansari,CHORYASI,0,Illiterate,100151.0, 0,SP,"Rs 1,00,151 ~ 1 Lacs+",1,0,0,0
92,Malkhan Ramkishor Varma,CHORYASI,0,8th Pass,127000.0, 35000,BSP,"Rs 1,27,000 ~ 1 Lacs+",1,0,0,0
93,Shekh Sheru,CHORYASI,1,Illiterate,144500.0, 76000,IND,"Rs 1,44,500 ~ 1 Lacs+",1,0,0,0
94,Mansuri Aaisha,CHORYASI,0,Literate,418000.0, 1748710,Log Party,"Rs 4,18,000 ~ 4 Lacs+",0,0,0,0
95,Sattar Pinjari,CHORYASI,0,12th Pass,845000.0, 462000,IND,"Rs 8,45,000 ~ 8 Lacs+",1,0,0,0
96,Prajapati Roshanlal Pyarelal,CHORYASI,0,5th Pass,1110000.0, 0,National Maha Sabha Party,"Rs 11,10,000 ~ 11 Lacs+",1,0,0,0
97,Rabari Motibhai Varshibhai,CHORYASI,0,5th Pass,1494856.0, 558176,Rashtriya Samaj Paksha,"Rs 14,94,856 ~ 14 Lacs+",1,0,0,0
98,Arun Pathak (Gabbar),CHORYASI,4,Others,1917542.0, 0,IND,"Rs 19,17,542 ~ 19 Lacs+",1,1,0,0
99,Vasava Vinodkumar,CHORYASI,0,Post Graduate,3918800.0, 62000,Gana Suraksha Party,"Rs 39,18,800 ~ 39 Lacs+",1,0,0,1
100,Chavada Hiteshbhai,CHORYASI,0,Graduate,4840838.0, 1300000,Sarvodaya Bharat Party,"Rs 48,40,838 ~ 48 Lacs+",1,0,0,1
101,Kantilal Nanubhai Patel,CHORYASI,0,12th Pass,34123950.0, 2586055,INC,"Rs 3,41,23,950 ~ 3 Crore+",1,0,1,0
102,Sandip Desai,CHORYASI,0,12th Pass,95186681.0, 1709732,BJP,"Rs 9,51,86,681 ~ 9 Crore+",1,0,1,0
103,Prakashbhai Vinodbhai Contractor,CHORYASI,1,Graduate,136918764.0, 0,AAP,"Rs 13,69,18,764 ~ 13 Crore+",1,1,1,1
104,Madhar Vinubhai Ramjibhai,CHOTILA,0,5th Pass,75000.0, 0,IND,"Rs 75,000 ~ 75 Thou+",1,0,0,0
105,Rathod Valjibhai Becharbhai,CHOTILA,0,Literate,680000.0, 0,IND,"Rs 6,80,000 ~ 6 Lacs+",1,0,0,0
106,Jayesh Hansrajbhai Thakor(Tamboliya),CHOTILA,2,10th Pass,1385000.0, 2000000,IND,"Rs 13,85,000 ~ 13 Lacs+",1,1,0,0
107,Jigneshkumar Malakiya,CHOTILA,0,Post Graduate,1434856.0, 373982,IND,"Rs 14,34,856 ~ 14 Lacs+",1,0,0,1
108,Raydhanbhai Gandabhai Kumarkhaniya,CHOTILA,0,5th Pass,3207287.0, 0,IND,"Rs 32,07,287 ~ 32 Lacs+",1,0,0,0
109,Karpada Rajubhai Merambhai,CHOTILA,3,Graduate Professional,6104712.0, 2497123,AAP,"Rs 61,04,712 ~ 61 Lacs+",1,1,0,1
110,Bhimabhai Popatbhai Dabhi,CHOTILA,0,Illiterate,7843000.0, 0,BSP,"Rs 78,43,000 ~ 78 Lacs+",1,0,0,0
111,Makwana Rutvikbhai Lavjibhai,CHOTILA,0,Graduate Professional,13177302.0, 6300000,INC,"Rs 1,31,77,302 ~ 1 Crore+",1,0,1,1
112,Chauhan Shamajibhai Bhimajibhai,CHOTILA,0,10th Pass,30711771.0, 3000000,BJP,"Rs 3,07,11,771 ~ 3 Crore+",1,0,1,0
113,Aestarben Kesharbhai Pawar,DANGS (ST),0,10th Pass,210000.0, 0,IND,"Rs 2,10,000 ~ 2 Lacs+",0,0,0,0
114,Nileshbhai Shivajibhai Zambare,DANGS (ST),1,5th Pass,684800.0, 0,Bhartiya Tribal Party,"Rs 6,84,800 ~ 6 Lacs+",1,0,0,0
115,Gamit Sunilbhai Chandubhai,DANGS (ST),0,Post Graduate,1478127.0, 365220,AAP,"Rs 14,78,127 ~ 14 Lacs+",1,0,0,1
116,Patel Mukeshbhai Chandarbhai,DANGS (ST),0,Others,9717340.0, 705891,INC,"Rs 97,17,340 ~ 97 Lacs+",1,0,0,0
117,Sangitaben Maheshbhai Ahire,DANGS (ST),0,5th Pass,13566747.0, 716000,BSP,"Rs 1,35,66,747 ~ 1 Crore+",0,0,1,0
118,Vijaybhai Rameshbhai Patel,DANGS (ST),0,10th Pass,19913199.0, 4412692,BJP,"Rs 1,99,13,199 ~ 1 Crore+",1,0,1,0
119,Solanki Kisanbhai Vajubhai,DASADA (SC),0,10th Pass,200000.0, 0,BSP,"Rs 2,00,000 ~ 2 Lacs+",1,0,0,0
120,Makwana Ukabhai Amarabhai,DASADA (SC),0,Post Graduate,698701.0, 0,IND,"Rs 6,98,701 ~ 6 Lacs+",1,0,0,1
121,Anand P Rathod,DASADA (SC),0,Graduate,804000.0, 0,IND,"Rs 8,04,000 ~ 8 Lacs+",1,0,0,1
122,R.B.Vaghela,DASADA (SC),0,Others,1536000.0, 625000,IND,"Rs 15,36,000 ~ 15 Lacs+",1,0,0,0
123,Maurya Mitvardhan Naranbhai,DASADA (SC),0,Graduate Professional,1900000.0, 0,IND,"Rs 19,00,000 ~ 19 Lacs+",1,0,0,1
124,Maheshbhai Virjibhai Rathod,DASADA (SC),0,12th Pass,3290000.0, 600000,Aadi Bharat Party,"Rs 32,90,000 ~ 32 Lacs+",1,0,0,0
125,P.K.Parmar,DASADA (SC),0,Others,9135468.0, 1290574,BJP,"Rs 91,35,468 ~ 91 Lacs+",1,0,0,0
126,Arvindbhai Kalubhai Solanki,DASADA (SC),0,8th Pass,29193919.0, 10683167,AAP,"Rs 2,91,93,919 ~ 2 Crore+",1,0,1,0
127,Naushad Solanki,DASADA (SC),1,Others,110035604.0, 7787009,INC,"Rs 11,00,35,604 ~ 11 Crore+",1,0,1,0
128,Bahadursing Devjibhai Vasava,DEDIAPADA (ST),2,12th Pass,4410470.0, 17000,Bhartiya Tribal Party,"Rs 44,10,470 ~ 44 Lacs+",1,0,0,0
129,Chaitarbhai Damjibhai Vasava,DEDIAPADA (ST),8,Graduate,6087000.0, 0,AAP,"Rs 60,87,000 ~ 60 Lacs+",1,1,0,1
130,Hiteshkumar Devjibhai Vasava,DEDIAPADA (ST),2,12th Pass,9806825.0, 2200000,BJP,"Rs 98,06,825 ~ 98 Lacs+",1,1,0,0
131,Jermaben Suklal Vasava,DEDIAPADA (ST),0,Post Graduate,13806353.0, 1850000,INC,"Rs 1,38,06,353 ~ 1 Crore+",0,0,1,1
132,Ganvit Kalpeshbhai Maganbhai,DHARAMPUR (ST),0,10th Pass,257000.0, 0,IND,"Rs 2,57,000 ~ 2 Lacs+",1,0,0,0
133,Sureshbhai Ballubhai Patel,DHARAMPUR (ST),3,10th Pass,870000.0, 0,Bhartiya Tribal Party,"Rs 8,70,000 ~ 8 Lacs+",1,1,0,0
134,Kalpesh Patel,DHARAMPUR (ST),4,Graduate Professional,1101235.0, 0,IND,"Rs 11,01,235 ~ 11 Lacs+",1,0,0,1
135,Barat Anandbhai Dubiyabhai,DHARAMPUR (ST),0,Literate,1555186.0, 10000,CPI(ML)(L),"Rs 15,55,186 ~ 15 Lacs+",1,0,0,0
136,Kamleshbhai Ghelabhai Patel,DHARAMPUR (ST),1,12th Pass,2350302.0, 0,AAP,"Rs 23,50,302 ~ 23 Lacs+",1,1,0,0
137,Ratilal Vajirbhai Thakrya,DHARAMPUR (ST),0,8th Pass,3335000.0, 259470,BSP,"Rs 33,35,000 ~ 33 Lacs+",1,0,0,0
138,Janubhai Dhakalbhai Kakad,DHARAMPUR (ST),0,10th Pass,4186000.0, 1250000,IND,"Rs 41,86,000 ~ 41 Lacs+",1,0,0,0
139,Kishanbhai V. Patel,DHARAMPUR (ST),2,Graduate,8661771.0, 5200000,INC,"Rs 86,61,771 ~ 86 Lacs+",1,0,0,1
140,Arvind Chhotubhai Patel,DHARAMPUR (ST),0,Graduate,26665354.0, 0,BJP,"Rs 2,66,65,354 ~ 2 Crore+",1,0,1,1
141,Parmar Imranbhai Valibhai,DHARI,0,10th Pass,120000.0, 0,IND,"Rs 1,20,000 ~ 1 Lacs+",1,0,0,0
142,Sureshbhai Dilubhai Parmar,DHARI,1,5th Pass,201000.0, 0,Rashtriya Power Party,"Rs 2,01,000 ~ 2 Lacs+",1,0,0,0
143,Vijaybhai Amrutbhai Chavda,DHARI,1,5th Pass,560000.0, 60000,Log Party,"Rs 5,60,000 ~ 5 Lacs+",1,0,0,0
144,Bhupatbhai Chhaganbhai Unava,DHARI,1,Illiterate,868000.0, 392000,Vyavastha Parivartan Party,"Rs 8,68,000 ~ 8 Lacs+",1,0,0,0
145,Vala Upendrabhai Valkubhai,DHARI,1,10th Pass,3957133.0, 0,IND,"Rs 39,57,133 ~ 39 Lacs+",1,0,0,0
146,Chaturbhai Parshotambhai Rudani,DHARI,0,5th Pass,6063000.0, 0,IND,"Rs 60,63,000 ~ 60 Lacs+",1,0,0,0
147,Sojitra Hiteshbhai Gobarbhai,DHARI,0,10th Pass,8254500.0, 2920000,Rashtriya Hind Ekta Dal,"Rs 82,54,500 ~ 82 Lacs+",1,0,0,0
148,Payal Bhavin Patel,DHARI,0,Others,9548500.0, 0,JD(S),"Rs 95,48,500 ~ 95 Lacs+",0,0,0,0
149,Satasiya Kantibhai Shambhubhai,DHARI,0,8th Pass,13984607.0, 5210548,AAP,"Rs 1,39,84,607 ~ 1 Crore+",0,0,1,0
150,Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),DHARI,0,Graduate,37524314.0, 11639519,BJP,"Rs 3,75,24,314 ~ 3 Crore+",1,0,1,1
151,Kirtikumar Kanubhai Borisagar,DHARI,0,Graduate Professional,50672922.0, 20041389,INC,"Rs 5,06,72,922 ~ 5 Crore+",1,0,1,1
152,Jafar Gani Pinjara,DHORAJI,0,5th Pass,41000.0, 0,IND,"Rs 41,000 ~ 41 Thou+",1,0,0,0
153,Parmar Sahid (Hedli),DHORAJI,0,8th Pass,41000.0, 0,IND,"Rs 41,000 ~ 41 Thou+",1,0,0,0
154,Sirajbhai Ababhai Khebhar,DHORAJI,0,12th Pass,50000.0, 174000,IND,"Rs 50,000 ~ 50 Thou+",1,0,0,0
155,Prabhat Govind Solanki,DHORAJI,0,8th Pass,210000.0, 40000,BSP,"Rs 2,10,000 ~ 2 Lacs+",1,0,0,0
156,Vipul Sakhiya,DHORAJI,0,10th Pass,5627801.0, 0,AAP,"Rs 56,27,801 ~ 56 Lacs+",1,0,0,0
157,Lalit Vasoya,DHORAJI,0,12th Pass,25261906.0, 474800,INC,"Rs 2,52,61,906 ~ 2 Crore+",1,0,1,0
158,Dr. Mahendrabhai Padalia,DHORAJI,0,Doctorate,84216405.0, 6036778,BJP,"Rs 8,42,16,405 ~ 8 Crore+",1,0,1,1
159,Makwana Shantilal Pamabhai,DHRANGADHRA,0,8th Pass,16700.0, 0,IND,"Rs 16,700 ~ 16 Thou+",1,0,0,0
160,Parmar Rajuben Ravindrabhai,DHRANGADHRA,0,8th Pass,140000.0, 0,IND,"Rs 1,40,000 ~ 1 Lacs+",0,0,0,0
161,Chauhan Jerambhai Govindbhai,DHRANGADHRA,0,12th Pass,193000.0, 0,IND,"Rs 1,93,000 ~ 1 Lacs+",1,0,0,0
162,Makwana Govindbhai Lalabhai,DHRANGADHRA,0,Graduate,604000.0, 50000,IND,"Rs 6,04,000 ~ 6 Lacs+",1,0,0,1
163,Makwana Ukabhai Amrabhai,DHRANGADHRA,0,Post Graduate,698701.0, 0,IND,"Rs 6,98,701 ~ 6 Lacs+",1,0,0,1
164,Bobda Nazirhusen Gulabbhai,DHRANGADHRA,0,12th Pass,774000.0, 0,IND,"Rs 7,74,000 ~ 7 Lacs+",1,0,0,0
165,Samrat Jayraj Prabhubhai,DHRANGADHRA,0,8th Pass,814144.0, 0,BSP,"Rs 8,14,144 ~ 8 Lacs+",1,0,0,0
166,Vijaykumar Dilipbhai Chavda,DHRANGADHRA,0,8th Pass,850000.0, 0,IND,"Rs 8,50,000 ~ 8 Lacs+",1,0,0,0
167,Parmar Kanjibhai Govindbhai,DHRANGADHRA,0,10th Pass,1163000.0, 0,IND,"Rs 11,63,000 ~ 11 Lacs+",1,0,0,0
168,Gunjariya Chhatrasinh Shankarbhai,DHRANGADHRA,6,8th Pass,4778488.0, 4665598,INC,"Rs 47,78,488 ~ 47 Lacs+",1,1,0,0
169,Vaghjibhai Karshanbhai Kaila,DHRANGADHRA,0,8th Pass,5625000.0, 1843071,AAP,"Rs 56,25,000 ~ 56 Lacs+",1,0,0,0
170,Surela Laljibhai Khodabhai,DHRANGADHRA,1,Literate,8549500.0, 1382678,IND,"Rs 85,49,500 ~ 85 Lacs+",1,0,0,0
171,Prakashbhai Parsotambhai Varmora,DHRANGADHRA,0,10th Pass,313558116.0, 79085542,BJP,"Rs 31,35,58,116 ~ 31 Crore+",1,0,1,0
