Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Manjuben Karabhai Pingal,KHAMBHALIA,0,Illiterate,65392, 0,IND,"Rs 65,392 ~ 65 Thou+"
Ibrahimbhai Amadbhai Ghavda,KHAMBHALIA,0,Illiterate,125000, 0,IND,"Rs 1,25,000 ~ 1 Lacs+"
Bukhari Yakub Mohammad Hushen,KHAMBHALIA,0,8th Pass,152198, 0,All India Majlis-E-Ittehadul Muslimeen,"Rs 1,52,198 ~ 1 Lacs+"
Vala Hamir Makvana,KHAMBHALIA,0,8th Pass,172278, 0,IND,"Rs 1,72,278 ~ 1 Lacs+"
Solanki Govind Hamirbhai,KHAMBHALIA,0,8th Pass,177000, 0,BSP,"Rs 1,77,000 ~ 1 Lacs+"
Nangesh Karsan Jeshabhai,KHAMBHALIA,0,10th Pass,2452100, 1300000,IND,"Rs 24,52,100 ~ 24 Lacs+"
Nurmamad Jusab Pariyani,KHAMBHALIA,0,Literate,3377542, 0,IND,"Rs 33,77,542 ~ 33 Lacs+"
Chetariya Lakhubhai Lagdhirbhai,KHAMBHALIA,0,12th Pass,8332800, 1030000,Gujarat Nav Nirman Sena,"Rs 83,32,800 ~ 83 Lacs+"
Isudan Gadhvi,KHAMBHALIA,2,Post Graduate,11086459, 5045481,AAP,"Rs 1,10,86,459 ~ 1 Crore+"
Ayar Mulubhai Hardasbhai Bera,KHAMBHALIA,0,10th Pass,59358379, 282478,BJP,"Rs 5,93,58,379 ~ 5 Crore+"
Ahir Vikrambhai Arjanbhai Maadam,KHAMBHALIA,0,Graduate,72076653, 4154125,INC,"Rs 7,20,76,653 ~ 7 Crore+"
Sosa Balubhai Pithabhai,KODINAR (SC),0,8th Pass,292000, 0,BSP,"Rs 2,92,000 ~ 2 Lacs+"
Vadhel Dipsinh Govindbhai,KODINAR (SC),0,12th Pass,310500, 0,IND,"Rs 3,10,500 ~ 3 Lacs+"
Valjibhai Karshanbhai Makvana,KODINAR (SC),0,10th Pass,1422557, 0,AAP,"Rs 14,22,557 ~ 14 Lacs+"
Makvana Maheshbhai Jethabhai,KODINAR (SC),6,8th Pass,7995960, 0,INC,"Rs 79,95,960 ~ 79 Lacs+"
Pradyuman Ganubhai Vaja,KODINAR (SC),0,Post Graduate,56335891, 0,BJP,"Rs 5,63,35,891 ~ 5 Crore+"
Anand Krashnakant Buch,KUTIYANA,1,8th Pass,20000, 0,IND,"Rs 20,000 ~ 20 Thou+"
Milankumar Madhavji Chauhan,KUTIYANA,0,12th Pass,50000, 0,IND,"Rs 50,000 ~ 50 Thou+"
Mukeshbhai Lakhaman Vaghasiya,KUTIYANA,0,8th Pass,50000, 0,IND,"Rs 50,000 ~ 50 Thou+"
Chandulal Mohanbhai Rathod,KUTIYANA,0,5th Pass,90000, 0,IND,"Rs 90,000 ~ 90 Thou+"
Ajay Karabhai Odedara,KUTIYANA,0,12th Pass,100000, 0,IND,"Rs 1,00,000 ~ 1 Lacs+"
Rajeshbhai Laxmidas Madlani,KUTIYANA,0,8th Pass,220000, 0,IND,"Rs 2,20,000 ~ 2 Lacs+"
Nimeshbhai Mansukhbhai Bhundiya,KUTIYANA,1,8th Pass,250000, 40000,IND,"Rs 2,50,000 ~ 2 Lacs+"
Prakashbhai Madhavjibhai Jungi,KUTIYANA,0,8th Pass,1670000, 0,IND,"Rs 16,70,000 ~ 16 Lacs+"
Butani Rajeshbhai Maganbhai,KUTIYANA,0,10th Pass,6384000, 1800000,Rashtriya Hind Ekta Dal,"Rs 63,84,000 ~ 63 Lacs+"
Bhimabhai Danabhai Makvana,KUTIYANA,0,Literate,10325931, 531526,AAP,"Rs 1,03,25,931 ~ 1 Crore+"
Dheliben Maldebhai Odedara,KUTIYANA,0,10th Pass,36300000, 0,BJP,"Rs 3,63,00,000 ~ 3 Crore+"
Nathabhai Bhurabhai Odedara,KUTIYANA,1,8th Pass,71192800, 1030199,INC,"Rs 7,11,92,800 ~ 7 Crore+"
Kandhalbhai Sarmanbhai Jadeja,KUTIYANA,2,8th Pass,209403859, 3808441,SP,"Rs 20,94,03,859 ~ 20 Crore+"
J.R.Parmar,LATHI,3,5th Pass,371000, 0,Right to Recall Party,"Rs 3,71,000 ~ 3 Lacs+"
Dilabhai Koreja,LATHI,1,5th Pass,948535, 50000,IND,"Rs 9,48,535 ~ 9 Lacs+"
Munabhai Nakubhai Bavaliya,LATHI,0,5th Pass,5448463, 2771000,IND,"Rs 54,48,463 ~ 54 Lacs+"
Jagdishchandra Mayani,LATHI,0,8th Pass,6455000, 682000,Vyavastha Parivartan Party,"Rs 64,55,000 ~ 64 Lacs+"
Jayshukhbhai Ravajibhai Detroja (Doli),LATHI,0,5th Pass,70271055, 137173152,AAP,"Rs 7,02,71,055 ~ 7 Crore+"
Virjibhai Thummar,LATHI,1,Graduate,110037814, 94174092,INC,"Rs 11,00,37,814 ~ 11 Crore+"
Janakbhai Talaviya,LATHI,1,12th Pass,581385657, 41601070,BJP,"Rs 58,13,85,657 ~ 58 Crore+"
Rashid Dadamiya Shaikh,LIMBAYAT,0,8th Pass,8000, 0,IND,"Rs 8,000 ~ 8 Thou+"
Sabirabibi Mohammad Yusuf Shaikh,LIMBAYAT,0,Literate,15000, 0,IND,"Rs 15,000 ~ 15 Thou+"
Hameed Madhavsang Rana,LIMBAYAT,0,8th Pass,16912, 0,IND,"Rs 16,912 ~ 16 Thou+"
Sayarabanu Hamid Rana,LIMBAYAT,0,8th Pass,16912, 0,IND,"Rs 16,912 ~ 16 Thou+"
Nasirshaha Naththushaha,LIMBAYAT,0,5th Pass,17000, 0,IND,"Rs 17,000 ~ 17 Thou+"
Irfankhan Pathan,LIMBAYAT,0,5th Pass,20000, 0,IND,"Rs 20,000 ~ 20 Thou+"
Khalik Yusuf Shaikh,LIMBAYAT,0,Illiterate,20000, 0,IND,"Rs 20,000 ~ 20 Thou+"
Shah Samir Shaikhlal,LIMBAYAT,0,5th Pass,20000, 0,IND,"Rs 20,000 ~ 20 Thou+"
Imrankhan Shokat Khan,LIMBAYAT,0,Illiterate,21000, 0,IND,"Rs 21,000 ~ 21 Thou+"
Shaikh Yusuf,LIMBAYAT,0,8th Pass,22000, 0,IND,"Rs 22,000 ~ 22 Thou+"
